,cand_name,cid,cycle,last_updated,industry_code0,industry_name0,indivs0,pacs0,total0,industry_code1,industry_name1,indivs1,pacs1,total1,industry_code2,industry_name2,indivs2,pacs2,total2,industry_code3,industry_name3,indivs3,pacs3,total3,industry_code4,industry_name4,indivs4,pacs4,total4,industry_code5,industry_name5,indivs5,pacs5,total5,industry_code6,industry_name6,indivs6,pacs6,total6,industry_code7,industry_name7,indivs7,pacs7,total7,industry_code8,industry_name8,indivs8,pacs8,total8,industry_code9,industry_name9,indivs9,pacs9,total9
10,Jodey Arrington,N00038285,2020,03/22/2021,E01,Oil & Gas,77050,109078,186128,H01,Health Professionals,80780,64000,144780,F09,Insurance,31325,109000,140325,W06,Retired,136725,0,136725,F10,Real Estate,83525,40000,123525,K01,Lawyers/Law Firms,78675,33375,112050,F03,Commercial Banks,74357,30500,104857,A01,Crop Production & Basic Processing,37950,54250,92200,F07,Securities & Investment,36750,54000,90750,H04,Pharmaceuticals/Health Products,1500,79800,81300
11,Cindy Axne,N00041104,2020,03/22/2021,W06,Retired,535948,0,535948,F07,Securities & Investment,360214,4000,364214,Q03,Leadership PACs,29834,320403,350237,Q02,Democratic/Liberal,240440,67429,307869,K01,Lawyers/Law Firms,192094,11500,203594,W04,Education,193696,0,193696,Q16,Candidate Committees,4000,172934,176934,Q08,Women's Issues,127201,31000,158201,F10,Real Estate,103927,39000,142927,N05,Business Services,109165,0,109165
12,Brian Babin,N00005736,2020,03/22/2021,H01,Health Professionals,81391,78000,159391,W06,Retired,91849,0,91849,E01,Oil & Gas,34123,37800,71923,M01,Air Transport,3291,65000,68291,F10,Real Estate,41137,9500,50637,N13,Chemical & Related Manufacturing,1336,44000,45336,K01,Lawyers/Law Firms,28105,13500,41605,Q03,Leadership PACs,0,41000,41000,M02,Automotive,21259,17000,38259,C01,General Contractors,27703,7000,34703
13,Don Bacon,N00037049,2020,03/22/2021,W06,Retired,424362,0,424362,Q03,Leadership PACs,3000,281400,284400,Q05,Pro-Israel,184317,45860,230177,F07,Securities & Investment,146067,11000,157067,F09,Insurance,39741,110000,149741,F10,Real Estate,101525,25500,127025,Q01,Republican/Conservative,64366,38550,102916,Q16,Candidate Committees,5800,93750,99550,P03,Transportation Unions,1,87500,87501,A07,Agricultural Services/Products,31058,47000,78058
14,Jim Baird,N00041954,2020,03/22/2021,A01,Crop Production & Basic Processing,7390,27500,34890,Q03,Leadership PACs,0,28500,28500,F10,Real Estate,11516,11000,22516,A07,Agricultural Services/Products,0,22500,22500,Q16,Candidate Committees,1000,13000,14000,K01,Lawyers/Law Firms,10707,2000,12707,A06,Livestock,0,11000,11000,H04,Pharmaceuticals/Health Products,6050,4000,10050,E08,Electric Utilities,1000,9000,10000,A04,Dairy,6900,2500,9400
15,Troy Balderson,N00042194,2020,03/22/2021,F10,Real Estate,78108,21500,99608,Q03,Leadership PACs,0,95800,95800,W06,Retired,88210,0,88210,F09,Insurance,21882,62300,84182,E01,Oil & Gas,20333,47700,68033,A01,Crop Production & Basic Processing,32552,30000,62552,K01,Lawyers/Law Firms,38407,16900,55307,H01,Health Professionals,20829,33000,53829,E08,Electric Utilities,6,47000,47006,C01,General Contractors,39390,4500,43890
16,Tammy Baldwin,N00004367,2020,03/22/2021,W06,Retired,5439694,0,5439694,Q08,Women's Issues,1714730,40592,1755322,K01,Lawyers/Law Firms,1500602,84400,1585002,W04,Education,1480697,1000,1481697,Q02,Democratic/Liberal,989553,24094,1013647,H01,Health Professionals,679853,195050,874903,F10,Real Estate,610746,18500,629246,F07,Securities & Investment,611840,5500,617340,N05,Business Services,536457,12500,548957,Q03,Leadership PACs,667,443271,443938
17,Jim Banks,N00037185,2020,03/22/2021,D01,Defense Aerospace,1,62000,62001,D03,Misc Defense,8200,51000,59200,H01,Health Professionals,12588,33650,46238,H04,Pharmaceuticals/Health Products,354,45650,46004,F10,Real Estate,24533,18000,42533,D02,Defense Electronics,0,42000,42000,Q03,Leadership PACs,0,39100,39100,W06,Retired,35121,0,35121,F09,Insurance,1844,33000,34844,K01,Lawyers/Law Firms,16819,15750,32569
18,Andy Barr,N00031233,2020,03/22/2021,F07,Securities & Investment,210689,199500,410189,Q03,Leadership PACs,2000,383801,385801,W06,Retired,286488,0,286488,F09,Insurance,40088,246050,286138,F10,Real Estate,163672,87500,251172,F03,Commercial Banks,71665,171000,242665,H01,Health Professionals,50258,84500,134758,F13,Misc Finance,89963,23500,113463,Q16,Candidate Committees,1000,102350,103350,K01,Lawyers/Law Firms,91361,10800,102161
19,Nanette Barragan,N00037019,2020,03/22/2021,K01,Lawyers/Law Firms,160460,13750,174210,H01,Health Professionals,14072,55500,69572,F10,Real Estate,37407,15000,52407,P03,Transportation Unions,0,48000,48000,H04,Pharmaceuticals/Health Products,2838,42500,45338,P04,Public Sector Unions,15,43000,43015,B09,Telecom Services,125,41000,41125,Q02,Democratic/Liberal,21510,13000,34510,W06,Retired,31951,0,31951,B02,TV/Movies/Music,14915,16500,31415
20,John A Barrasso,N00006236,2020,03/22/2021,E01,Oil & Gas,237037,345400,582437,F07,Securities & Investment,453746,110000,563746,H01,Health Professionals,312051,226100,538151,Q03,Leadership PACs,0,372400,372400,K02,Lobbyists,357131,3000,360131,E08,Electric Utilities,92265,222250,314515,H04,Pharmaceuticals/Health Products,93895,220000,313895,W06,Retired,294908,0,294908,K01,Lawyers/Law Firms,110179,137000,247179,F10,Real Estate,174795,55500,230295
21,Karen Bass,N00031877,2020,03/22/2021,B02,TV/Movies/Music,161712,28500,190212,K01,Lawyers/Law Firms,135063,38750,173813,F07,Securities & Investment,139140,7000,146140,F10,Real Estate,60429,32000,92429,W06,Retired,86575,0,86575,Q02,Democratic/Liberal,69290,8051,77341,Q09,Human Rights,60502,14560,75062,H01,Health Professionals,29100,35500,64600,P04,Public Sector Unions,0,55500,55500,N05,Business Services,52077,0,52077
22,Joyce Beatty,N00033904,2020,03/22/2021,F09,Insurance,21379,260500,281879,F07,Securities & Investment,44931,160500,205431,F03,Commercial Banks,20736,151000,171736,F10,Real Estate,28355,69000,97355,Q02,Democratic/Liberal,85704,7509,93213,K01,Lawyers/Law Firms,44699,46800,91499,Q03,Leadership PACs,1000,67800,68800,F06,Finance/Credit Companies,0,66500,66500,F11,Accountants,2379,53000,55379,H02,Hospitals/Nursing Homes,14283,30000,44283
23,Michael Bennet,N00030608,2020,03/22/2021,F07,Securities & Investment,1790799,109950,1900749,K01,Lawyers/Law Firms,1670862,165755,1836617,W06,Retired,1476849,0,1476849,F10,Real Estate,872087,70900,942987,W04,Education,581386,7500,588886,K02,Lobbyists,555600,13050,568650,H01,Health Professionals,365609,157200,522809,B02,TV/Movies/Music,460121,32000,492121,Q11,Environment,461379,27709,489088,Q03,Leadership PACs,0,473350,473350
24,Ami Bera,N00030717,2020,03/22/2021,H01,Health Professionals,62212,190000,252212,W06,Retired,161852,0,161852,H04,Pharmaceuticals/Health Products,27966,90692,118658,Q02,Democratic/Liberal,77633,15000,92633,F10,Real Estate,50138,18500,68638,F09,Insurance,6207,57500,63707,W04,Education,60108,0,60108,H03,Health Services/HMOs,10253,46000,56253,F07,Securities & Investment,40981,13000,53981,K01,Lawyers/Law Firms,39676,11750,51426
25,John Bergman,N00039533,2020,03/22/2021,W06,Retired,217858,0,217858,F10,Real Estate,96150,18500,114650,Q03,Leadership PACs,821,60615,61436,H01,Health Professionals,24824,31500,56324,N03,Retail Sales,37283,12500,49783,A01,Crop Production & Basic Processing,11816,37500,49316,D03,Misc Defense,10038,37750,47788,E08,Electric Utilities,126,47250,47376,E01,Oil & Gas,35478,7250,42728,D01,Defense Aerospace,50,41500,41550
26,Jaime Herrera Beutler,N00031559,2020,03/22/2021,W06,Retired,588872,0,588872,Q03,Leadership PACs,0,332850,332850,F10,Real Estate,142264,41000,183264,F07,Securities & Investment,112852,29500,142352,Q01,Republican/Conservative,92165,36250,128415,H01,Health Professionals,17706,88500,106206,Q16,Candidate Committees,0,94750,94750,F09,Insurance,13238,70000,83238,N01,Food & Beverage,38790,22800,61590,M01,Air Transport,13505,45000,58505
27,Don Beyer,N00036018,2020,03/22/2021,K01,Lawyers/Law Firms,125705,17700,143405,W06,Retired,141040,0,141040,F10,Real Estate,82253,33500,115753,M02,Automotive,39035,40000,79035,F09,Insurance,10357,67500,77857,Q02,Democratic/Liberal,47840,2500,50340,H01,Health Professionals,11808,38500,50308,F07,Securities & Investment,18721,31500,50221,W03,Civil Servants/Public Officials,37648,0,37648,P04,Public Sector Unions,253,37000,37253
28,Andy Biggs,N00039293,2020,03/22/2021,Q01,Republican/Conservative,162673,17600,180273,W06,Retired,160612,0,160612,F10,Real Estate,63786,8000,71786,H01,Health Professionals,8367,22000,30367,B09,Telecom Services,0,29000,29000,F09,Insurance,10259,17000,27259,E01,Oil & Gas,1253,26000,27253,M02,Automotive,12512,11500,24012,B12,Electronics Mfg & Equip,374,23180,23554,K01,Lawyers/Law Firms,14807,7000,21807
29,Gus Bilirakis,N00027462,2020,03/22/2021,H01,Health Professionals,72352,162500,234852,W06,Retired,99791,0,99791,H04,Pharmaceuticals/Health Products,26557,72000,98557,H03,Health Services/HMOs,6100,78800,84900,K01,Lawyers/Law Firms,43236,26000,69236,F10,Real Estate,49361,10000,59361,B09,Telecom Services,250,52000,52250,F09,Insurance,10316,33750,44066,K02,Lobbyists,37350,1000,38350,Q03,Leadership PACs,0,32500,32500
30,Dan Bishop,N00044335,2020,03/22/2021,W06,Retired,485588,0,485588,Q01,Republican/Conservative,201271,44800,246071,F10,Real Estate,212305,19500,231805,Q03,Leadership PACs,0,183400,183400,K01,Lawyers/Law Firms,128730,9100,137830,H01,Health Professionals,72915,31000,103915,Q16,Candidate Committees,5000,92450,97450,N05,Business Services,86328,250,86578,F09,Insurance,51042,26500,77542,F07,Securities & Investment,63196,4500,67696
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sanford Bishop,N00002674,2020,03/22/2021,A01,Crop Production & Basic Processing,45100,118100,163200,A07,Agricultural Services/Products,345,81000,81345,Q03,Leadership PACs,2000,60300,62300,K01,Lawyers/Law Firms,17130,39500,56630,P04,Public Sector Unions,0,50000,50000,A09,Food Processing & Sales,2800,44500,47300,A10,Forestry & Forest Products,4212,41800,46012,N03,Retail Sales,13950,25500,39450,P02,Industrial Unions,0,39000,39000,F09,Insurance,10600,22500,33100
33,Marsha Blackburn,N00003105,2020,03/22/2021,W06,Retired,1946194,0,1946194,Q01,Republican/Conservative,1057853,79405,1137258,F10,Real Estate,735508,36000,771508,F07,Securities & Investment,564406,19500,583906,Q03,Leadership PACs,0,578100,578100,H01,Health Professionals,335939,223875,559814,K01,Lawyers/Law Firms,333470,59950,393420,F13,Misc Finance,337255,19500,356755,E01,Oil & Gas,201741,137200,338941,K02,Lobbyists,317772,1500,319272
34,Earl Blumenauer,N00007727,2020,03/22/2021,H01,Health Professionals,20600,105000,125600,W06,Retired,118347,0,118347,K01,Lawyers/Law Firms,57333,43550,100883,N15,Misc Manufacturing & Distributing,36343,45500,81843,F09,Insurance,2441,77000,79441,Q10,Misc Issues,58925,19500,78425,C04,Construction Services,6158,67000,73158,M04,Railroads,15007,56000,71007,F10,Real Estate,44015,19000,63015,K02,Lobbyists,50610,2000,52610
35,Richard Blumenthal,N00031685,2020,03/22/2021,K01,Lawyers/Law Firms,1103098,123841,1226939,F07,Securities & Investment,791176,45500,836676,W06,Retired,716686,0,716686,F10,Real Estate,461853,32000,493853,Q03,Leadership PACs,0,347000,347000,K02,Lobbyists,295567,13050,308617,H01,Health Professionals,161360,114250,275610,B02,TV/Movies/Music,214148,50000,264148,W04,Education,214171,0,214171,B09,Telecom Services,122411,80500,202911
36,Roy Blunt,N00005195,2020,03/22/2021,F07,Securities & Investment,703177,113300,816477,W06,Retired,757106,0,757106,F10,Real Estate,616359,81500,697859,Q03,Leadership PACs,16200,621280,637480,K02,Lobbyists,624225,12000,636225,K01,Lawyers/Law Firms,416244,205550,621794,H04,Pharmaceuticals/Health Products,158744,314450,473194,H01,Health Professionals,232025,220500,452525,F09,Insurance,136028,259100,395128,N15,Misc Manufacturing & Distributing,250821,106000,356821
37,Suzanne Bonamici,N00033474,2020,03/22/2021,W06,Retired,86632,0,86632,K01,Lawyers/Law Firms,40486,22500,62986,H01,Health Professionals,8217,46000,54217,P04,Public Sector Unions,361,49000,49361,N15,Misc Manufacturing & Distributing,11364,30500,41864,M01,Air Transport,2912,29000,31912,P01,Building Trade Unions,20,30000,30020,B12,Electronics Mfg & Equip,10245,18500,28745,F09,Insurance,1326,24500,25826,N03,Retail Sales,2044,23500,25544
38,Cory Booker,N00035267,2020,03/22/2021,K01,Lawyers/Law Firms,1116916,55800,1172716,F07,Securities & Investment,1046609,7000,1053609,W06,Retired,877304,0,877304,F10,Real Estate,621087,3000,624087,B02,TV/Movies/Music,471184,12000,483184,W04,Education,436364,0,436364,Q03,Leadership PACs,10000,379600,389600,Q09,Human Rights,292634,25612,318246,Q02,Democratic/Liberal,309010,5750,314760,H01,Health Professionals,289622,11000,300622
39,John Boozman,N00013873,2020,03/22/2021,Q03,Leadership PACs,0,369784,369784,H01,Health Professionals,237395,116500,353895,F07,Securities & Investment,204750,73500,278250,W06,Retired,226659,0,226659,F03,Commercial Banks,102150,119250,221400,A01,Crop Production & Basic Processing,70650,128187,198837,F10,Real Estate,138330,53500,191830,E01,Oil & Gas,64500,93000,157500,F09,Insurance,70488,86000,156488,K02,Lobbyists,145034,3413,148447
40,Mike Bost,N00035420,2020,03/22/2021,W06,Retired,111396,0,111396,Q03,Leadership PACs,0,106600,106600,A01,Crop Production & Basic Processing,37359,44000,81359,P04,Public Sector Unions,0,78500,78500,P03,Transportation Unions,0,77500,77500,F07,Securities & Investment,61073,16000,77073,F10,Real Estate,57219,19500,76719,A07,Agricultural Services/Products,4800,49500,54300,P01,Building Trade Unions,0,53000,53000,F09,Insurance,21437,28500,49937
41,Brendan Boyle,N00035307,2020,03/22/2021,F09,Insurance,6799,118500,125299,H01,Health Professionals,22679,79500,102179,H04,Pharmaceuticals/Health Products,3998,87300,91298,K01,Lawyers/Law Firms,50425,40609,91034,F07,Securities & Investment,15760,56000,71760,P02,Industrial Unions,35,64000,64035,P04,Public Sector Unions,0,55000,55000,M02,Automotive,7400,43000,50400,Q05,Pro-Israel,26300,22950,49250,P03,Transportation Unions,0,49250,49250
42,Kevin Brady,N00005883,2020,03/22/2021,F07,Securities & Investment,184050,109500,293550,E01,Oil & Gas,105600,174300,279900,H01,Health Professionals,24350,243000,267350,F09,Insurance,36450,201000,237450,F10,Real Estate,172525,58500,231025,H04,Pharmaceuticals/Health Products,14350,203650,218000,K01,Lawyers/Law Firms,97250,39000,136250,W06,Retired,104615,0,104615,N15,Misc Manufacturing & Distributing,26770,62000,88770,E08,Electric Utilities,2000,78000,80000
43,Mike Braun,N00041731,2020,03/22/2021,W06,Retired,865922,0,865922,Q01,Republican/Conservative,469492,37999,507491,F07,Securities & Investment,495200,8500,503700,F10,Real Estate,340076,10000,350076,Q03,Leadership PACs,0,254500,254500,M02,Automotive,190508,41000,231508,N15,Misc Manufacturing & Distributing,199139,23500,222639,K01,Lawyers/Law Firms,194563,17311,211874,E01,Oil & Gas,135792,68500,204292,H01,Health Professionals,155623,24500,180123
44,Anthony Brindisi,N00041385,2020,03/22/2021,Q02,Democratic/Liberal,414977,63387,478364,F07,Securities & Investment,467717,3000,470717,Q03,Leadership PACs,28634,423902,452536,K01,Lawyers/Law Firms,424260,21850,446110,W06,Retired,446047,0,446047,W04,Education,372688,1000,373688,F10,Real Estate,239319,21500,260819,H01,Health Professionals,97862,74000,171862,Q16,Candidate Committees,8150,147701,155851,W02,Non-Profit Institutions,146207,2000,148207
45,Mo Brooks,N00030910,2020,03/22/2021,D03,Misc Defense,45710,24300,70010,F10,Real Estate,38680,11000,49680,D01,Defense Aerospace,7604,34000,41604,W06,Retired,32976,0,32976,H01,Health Professionals,9401,18000,27401,Q01,Republican/Conservative,12151,13000,25151,K01,Lawyers/Law Firms,10760,13000,23760,N15,Misc Manufacturing & Distributing,6400,8500,14900,E08,Electric Utilities,0,14000,14000,Q16,Candidate Committees,0,11800,11800
46,Susan Brooks,N00033495,2020,03/22/2021,Q03,Leadership PACs,0,22800,22800,H04,Pharmaceuticals/Health Products,2800,19000,21800,F09,Insurance,750,8500,9250,K02,Lobbyists,9200,0,9200,H03,Health Services/HMOs,0,9000,9000,N03,Retail Sales,0,8000,8000,F11,Accountants,0,7500,7500,E08,Electric Utilities,0,7500,7500,F07,Securities & Investment,2500,5000,7500,F10,Real Estate,5100,2000,7100
47,Anthony Brown,N00036999,2020,03/22/2021,P03,Transportation Unions,0,91250,91250,D03,Misc Defense,33150,54750,87900,F10,Real Estate,54897,17500,72397,K01,Lawyers/Law Firms,41348,25750,67098,M01,Air Transport,4755,62000,66755,K02,Lobbyists,58629,0,58629,P04,Public Sector Unions,0,56000,56000,D02,Defense Electronics,1000,51000,52000,P01,Building Trade Unions,0,41000,41000,M02,Automotive,12800,24000,36800
48,Sherrod Brown,N00003535,2020,03/22/2021,W06,Retired,3211363,0,3211363,K01,Lawyers/Law Firms,2048202,173450,2221652,W04,Education,1316356,0,1316356,H01,Health Professionals,732226,244100,976326,F10,Real Estate,775210,104500,879710,F07,Securities & Investment,627614,210350,837964,Q02,Democratic/Liberal,757074,20781,777855,F09,Insurance,256314,346082,602396,N05,Business Services,466175,12650,478825,Q03,Leadership PACs,0,471800,471800
49,Julia Brownley,N00034254,2020,03/22/2021,W06,Retired,250666,0,250666,H01,Health Professionals,22342,85500,107842,P03,Transportation Unions,50,94500,94550,W04,Education,71132,0,71132,Q02,Democratic/Liberal,68513,2500,71013,K01,Lawyers/Law Firms,59022,6000,65022,F10,Real Estate,50658,9000,59658,H03,Health Services/HMOs,19295,36000,55295,P01,Building Trade Unions,15,51500,51515,P04,Public Sector Unions,25,50000,50025
50,Vernon Buchanan,N00027626,2020,03/22/2021,W06,Retired,252656,0,252656,F10,Real Estate,175092,45000,220092,Q03,Leadership PACs,0,202800,202800,H01,Health Professionals,54167,134000,188167,F09,Insurance,22601,111500,134101,K02,Lobbyists,99321,0,99321,A01,Crop Production & Basic Processing,51441,43000,94441,F07,Securities & Investment,55402,37500,92902,H02,Hospitals/Nursing Homes,18304,65500,83804,K01,Lawyers/Law Firms,58005,22500,80505
51,Ken Buck,N00030829,2020,03/22/2021,B09,Telecom Services,11400,26000,37400,Q03,Leadership PACs,0,32500,32500,E01,Oil & Gas,1000,22500,23500,Q01,Republican/Conservative,9933,10000,19933,B12,Electronics Mfg & Equip,1000,14000,15000,F10,Real Estate,4000,11000,15000,F07,Securities & Investment,13200,0,13200,K01,Lawyers/Law Firms,8050,4500,12550,W06,Retired,12525,0,12525,B13,Internet,0,12000,12000
52,Larry Bucshon,N00031227,2020,03/22/2021,H01,Health Professionals,49125,183300,232425,H04,Pharmaceuticals/Health Products,6604,177650,184254,H03,Health Services/HMOs,1506,56500,58006,F10,Real Estate,24930,8500,33430,B09,Telecom Services,3,31000,31003,E08,Electric Utilities,0,30500,30500,Q03,Leadership PACs,0,25000,25000,E04,Mining,3800,21000,24800,K02,Lobbyists,20700,0,20700,F03,Commercial Banks,3511,16000,19511
53,Ted Budd,N00039551,2020,03/22/2021,Q01,Republican/Conservative,255715,12500,268215,F07,Securities & Investment,53476,105750,159226,F10,Real Estate,96966,45000,141966,F09,Insurance,9478,129000,138478,F03,Commercial Banks,17508,120000,137508,W06,Retired,123749,0,123749,F11,Accountants,4425,43500,47925,K01,Lawyers/Law Firms,27004,19600,46604,F13,Misc Finance,29310,14000,43310,F06,Finance/Credit Companies,0,42000,42000
54,Tim Burchett,N00041594,2020,03/22/2021,W06,Retired,119479,0,119479,F10,Real Estate,49371,6000,55371,P01,Building Trade Unions,0,44000,44000,H01,Health Professionals,26450,8300,34750,K01,Lawyers/Law Firms,29750,4500,34250,C01,General Contractors,27050,2000,29050,F03,Commercial Banks,20025,7000,27025,C02,Home Builders,18900,8000,26900,A01,Crop Production & Basic Processing,250,26500,26750,M02,Automotive,11250,15000,26250
55,Michael Burgess,N00025219,2020,03/22/2021,H01,Health Professionals,174276,283500,457776,H04,Pharmaceuticals/Health Products,7900,147150,155050,H03,Health Services/HMOs,17810,79000,96810,W06,Retired,82964,0,82964,E01,Oil & Gas,20225,56500,76725,K02,Lobbyists,64800,0,64800,H02,Hospitals/Nursing Homes,13675,48500,62175,F10,Real Estate,28210,17500,45710,M02,Automotive,17700,24000,41700,B09,Telecom Services,0,38500,38500
56,Richard Burr,N00002221,2020,03/22/2021,F07,Securities & Investment,686946,154500,841446,W06,Retired,828769,0,828769,Q03,Leadership PACs,0,607760,607760,K01,Lawyers/Law Firms,414778,147495,562273,F10,Real Estate,472614,74500,547114,F09,Insurance,302713,224500,527213,H01,Health Professionals,271384,229550,500934,H04,Pharmaceuticals/Health Products,132566,357424,489990,K02,Lobbyists,412729,2977,415706,F13,Misc Finance,292689,28000,320689
57,Cheri Bustos,N00033390,2020,03/22/2021,W06,Retired,362429,0,362429,K01,Lawyers/Law Firms,250829,43765,294594,Q03,Leadership PACs,5000,205300,210300,F09,Insurance,18385,183500,201885,F10,Real Estate,117270,57500,174770,H01,Health Professionals,52619,112500,165119,F07,Securities & Investment,83841,49000,132841,Q02,Democratic/Liberal,104025,18500,122525,A07,Agricultural Services/Products,13709,103000,116709,E08,Electric Utilities,28447,82000,110447
58,G K Butterfield,N00027035,2020,03/22/2021,H04,Pharmaceuticals/Health Products,2800,104000,106800,B02,TV/Movies/Music,26750,36500,63250,K01,Lawyers/Law Firms,34400,23000,57400,B09,Telecom Services,8300,40500,48800,E08,Electric Utilities,250,40500,40750,A01,Crop Production & Basic Processing,700,39500,40200,H01,Health Professionals,10050,28000,38050,F10,Real Estate,19150,18500,37650,K02,Lobbyists,26900,4000,30900,B08,Telephone Utilities,0,30000,30000
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Ken Calvert,N00007099,2020,03/22/2021,D03,Misc Defense,64850,68000,132850,D01,Defense Aerospace,73000,36600,109600,F10,Real Estate,68575,18000,86575,K02,Lobbyists,76900,1000,77900,M01,Air Transport,3250,60000,63250,N15,Misc Manufacturing & Distributing,22860,38000,60860,N07,Casinos/Gambling,58750,0,58750,D02,Defense Electronics,0,49500,49500,A01,Crop Production & Basic Processing,30566,13800,44366,C05,Building Materials & Equipment,35100,9000,44100
61,Maria Cantwell,N00007836,2020,03/22/2021,W06,Retired,1370812,0,1370812,K01,Lawyers/Law Firms,725197,0,725197,F10,Real Estate,558702,347,559049,Q08,Women's Issues,443123,-244,442879,K02,Lobbyists,406317,0,406317,F07,Securities & Investment,374278,0,374278,W04,Education,210382,0,210382,F13,Misc Finance,199291,1000,200291,B12,Electronics Mfg & Equip,194359,0,194359,Q11,Environment,188370,-1037,187333
